timestamp;left_pos_x;left_pos_y;left_pos_z;left_rot_x;left_rot_y;left_rot_z;left_rot_w;right_pos_x;right_pos_y;right_pos_z;right_rot_x;right_rot_y;right_rot_z;right_rot_w;obj_pos_x;obj_pos_y;obj_pos_z;obj_rot_x;obj_rot_y;obj_rot_z;obj_rot_w
88;-0,02280426;0,2127408;0,3346866;-0,06690758;0,0331999;0,03571377;0,996567;0,1760113;0,1943024;0,2468689;-0,210846;0,01496682;-0,129048;0,9688481;-0,0002705032;-0,1136042;0,2206791;0,1379426;-0,2237063;-0,0008463412;0,9648454
89;-0,02272229;0,2138731;0,3389994;-0,06177161;0,03009897;0,03604266;0,9969851;0,175563;0,1940923;0,2477866;-0,2082178;0,01504881;-0,129067;0,9694125;-0,000267893;-0,1138004;0,2211096;0,1380203;-0,2250233;-0,0009198741;0,964528
90;-0,02259362;0,2150652;0,3427829;-0,06072501;0,027156;0,03416701;0,9971999;0,1749397;0,1939882;0,2486898;-0,2051073;0,01432803;-0,127907;0,9702399;-0,0002658633;-0,113953;0,2214444;0,1380805;-0,2260464;-0,0009770185;0,96428
91;-0,02221601;0,2163458;0,3462943;-0,05982699;0,02462213;0,03065197;0,9974342;0,1741671;0,1939047;0,2494985;-0,2025573;0,01312261;-0,1245686;0,9712266;-0,0002638467;-0,1141046;0,221777;0,1381401;-0,227062;-0,001033753;0,9640328
92;-0,02200171;0,2178637;0,3491837;-0,06157449;0,02048675;0,02708032;0,9975247;0,1733086;0,1940144;0,25019;-0,2011887;0,01288523;-0,1200673;0,9720807;-0,0002616491;-0,1142699;0,2221395;0,1382048;-0,2281675;-0,001095529;0,9637623
93;-0,02158164;0,2193872;0,3517945;-0,06086916;0,01984187;0,02366169;0,997668;0,1724651;0,1941759;0,2507917;-0,2003566;0,01139539;-0,1170573;0,9726381;-0,0002593928;-0,1144395;0,2225116;0,138271;-0,2293018;-0,001158922;0,9634835
94;-0,02129358;0,2214301;0,3539354;-0,06281632;0,01721245;0,02078621;0,9976602;0,1714164;0,1945024;0,2513826;-0,2000081;0,006411561;-0,1146322;0,9730443;-0,0002571332;-0,1146094;0,2228844;0,1383371;-0,2304365;-0,001222361;0,9632032
95;-0,02124752;0,2241046;0,3555298;-0,06763873;0,01561227;0,02181741;0,9973491;0,1703151;0,1948935;0,252066;-0,2006679;0,002819926;-0,1106741;0,9733836;-0,0002549052;-0,1147769;0,2232518;0,138402;-0,2315541;-0,001284856;0,9629257
96;-0,02126168;0,2267008;0,3572041;-0,07073504;0,01557213;0,02406766;0,9970831;0,1691663;0,1952307;0,2531553;-0,2004998;-0,0001972808;-0,1052269;0,9740262;-0,0002525235;-0,1149559;0,2236447;0,1384712;-0,2327477;-0,001351621;0,9626279
97;-0,02125459;0,2288359;0,3594022;-0,06884287;0,0123578;0,02197153;0,997309;0,1682269;0,1954084;0,2546496;-0,1984082;-0,001173763;-0,1000583;0,9749981;-0,0002503896;-0,1151164;0,2239967;0,138533;-0,2338163;-0,001411404;0,96236
98;-0,02122037;0,2309381;0,3619784;-0,06435695;0,007704687;0,01944794;0,9977077;0,1674642;0,195606;0,2566322;-0,1947733;-0,0007294163;-0,09617697;0,9761214;-0,0002481684;-0,1152834;0,224363;0,138597;-0,2349271;-0,00147357;0,9620801
