timestamp,success,translation_x,translation_y,translation_z,rotation_x,rotation_y,rotation_z,rotation_w
1678301096.22286,True,-7.65036306147452,-13.011560223235,60.5295567218044,0.2963837,0.717049,-0.4799568,-0.4094374
1678301096.28669,True,-6.4764142406177,-12.2481671365509,61.0210543536277,0.3055188,0.7175036,-0.484065,-0.3968978
1678301096.36747,True,-5.16365627633472,-11.3412051593764,61.1971320721912,0.3102601,0.7210269,-0.4842803,-0.3864343
1678301096.4313,True,-3.77166925132523,-10.3789208166123,61.2190384532442,0.3070951,0.725462,-0.4842231,-0.3806909
1678301096.49513,True,-2.51296203228064,-9.49653189739382,61.1984280567221,0.2979864,0.7299929,-0.4859697,-0.3770252
1678301096.55896,True,-1.71582931549596,-8.96480119311758,61.2223730163302,0.2923533,0.733152,-0.4888114,-0.3715926
1678301096.62478,True,-1.32098908564073,-8.91348186759206,62.0533187025271,0.2963325,0.7194034,-0.5138515,-0.3613896
1678301096.70257,True,-1.14064243581781,-8.93698789245362,63.3930888683769,0.3298854,0.6682643,-0.5835363,-0.3226204
1678301096.7674,True,-1.14919543481984,-9.14817978385338,64.2936239209133,-0.3846846,-0.6156931,0.6347186,0.2647114
1678301096.83023,False
1678301096.89306,False
1678301096.95789,False
1678301097.02072,False
1678301097.10151,False
1678301097.16633,False
1678301097.22917,False
1678301097.29299,False
1678301097.35782,False
1678301097.42165,False
1678301097.50144,False
1678301097.56726,True,-1.08172256603187,-9.87835969254302,64.3624659241056,-0.467521,-0.5672252,0.6543164,0.1776226
1678301097.63109,True,-1.12100497160959,-10.2205894306037,63.617361264197,-0.4449983,-0.6006346,0.6343974,0.1968621
1678301097.69592,True,-1.25036043055937,-10.2734343378921,62.7301739667343,0.3858726,0.6557838,-0.5984812,-0.2507393
1678301097.75875,True,-1.3719117038232,-10.0727717534246,61.6570255634808,0.3060206,0.7152047,-0.5456545,-0.3116007
1678301097.82408,True,-1.40535344186967,-9.62782661654944,59.5211904704084,0.2111077,0.7798035,-0.4655659,-0.3613704
1678301097.90287,True,-1.35326400709653,-9.23819277675652,57.7754454073863,0.1330544,0.815964,-0.3970728,-0.3985381
1678301097.9677,True,-1.36037479070287,-9.17783419349473,58.1961118820005,0.08414089,0.8284886,-0.3595092,-0.4210465
1678301098.03153,True,-1.2766033061359,-9.06264939604346,57.9652834930112,0.03661555,0.8368532,-0.3234287,-0.4401477
1678301098.09436,True,-1.16793129550112,-8.98752876094942,57.7807665253531,-0.00247712,0.8399889,-0.2925178,-0.4569966
1678301098.15919,True,-0.944648073919037,-8.85099589311027,56.4840434417248,-0.03770819,0.8431633,-0.263751,-0.4670002
1678301098.22302,True,-0.840916947342968,-8.79035658236256,56.816293463874,-0.06288751,0.8440999,-0.2427984,-0.4739088
1678301098.3028,True,-0.676159931268341,-8.85601499153361,57.1879986941641,-0.0779805,0.8438824,-0.2317449,-0.4775729
1678301098.36763,True,-0.512170042735143,-9.05552469933495,57.597317033266,-0.08243191,0.8443089,-0.2290091,-0.4773912
1678301098.43246,True,-0.406349566920152,-9.15006333282022,57.7099218261892,-0.08475928,0.8472124,-0.2265248,-0.4730049
1678301098.49928,True,-0.372946462854034,-9.1762666466032,57.793336985172,-0.08682451,0.8495955,-0.2237955,-0.4696431
1678301098.56305,True,-0.410082713745826,-9.32455545280549,58.1575257618961,-0.08658954,0.8498414,-0.2262631,-0.4680566
1678301098.62488,True,-0.555360550470089,-9.67489774823678,58.7700554378032,-0.08244154,0.8499313,-0.2347549,-0.4644462
1678301098.70267,True,-1.07434200902333,-10.1308958265397,59.3156726003985,-0.07752084,0.8516295,-0.2409554,-0.4589753
1678301098.7675,True,-2.14596467097986,-10.5375214204965,59.7219493175622,-0.07849728,0.8532329,-0.2386082,-0.4570537
1678301098.83033,True,-3.73757092867599,-10.872009581612,59.5925749446985,-0.08227427,0.8540833,-0.2293885,-0.4595145
1678301098.89516,True,-5.55757029481269,-11.1522867647186,58.902119197356,-0.07866687,0.8540059,-0.2198094,-0.46494
1678301098.95998,True,-7.28179977846787,-11.4604600011589,57.9729645724591,-0.06557449,0.8530808,-0.2184886,-0.4692716
1678301099.02381,True,-8.73706518968059,-11.9835157908004,57.225312943365,-0.04781948,0.8493167,-0.2267464,-0.4743001
1678301099.1036,True,-9.85715526141312,-12.6896589645795,56.3384929843567,-0.02606163,0.8445255,-0.2391994,-0.4784152
1678301099.16643,True,-10.5752912546775,-13.2516346658064,55.2362915211625,-0.009713988,0.8420832,-0.2470448,-0.4793439
1678301099.23325,True,-10.8153492618454,-13.3906252562357,54.5014907366986,-0.0005978712,0.8435987,-0.2504131,-0.4750096
1678301099.29509,True,-10.5733089982165,-13.0321185746654,54.3754451141096,-0.0001969991,0.8468361,-0.2526804,-0.4679971
1678301099.35991,True,-10.0022622247995,-12.4499165781648,54.6470557242414,-0.000430167,0.8498418,-0.2550938,-0.4611897
1678301099.42374,True,-9.1587443053041,-11.7900671018768,55.2307291132591,0.0003136218,0.852968,-0.260208,-0.4524792
1678301099.50353,True,-7.95805970388963,-11.0735294936718,55.9920168339253,0.002768504,0.8533401,-0.2750382,-0.4428961
1678301099.56636,True,-6.49508511588278,-10.3851641687357,56.688189343509,0.01131186,0.8533529,-0.2938678,-0.4304679
1678301099.63119,True,-4.95498495208298,-9.72972625949758,57.1730073540914,0.02365978,0.852779,-0.3119951,-0.4181713
1678301099.69502,True,-3.64097580184845,-9.25911221433857,57.6616981336017,0.03987838,0.8513509,-0.3269759,-0.4082869
1678301099.75885,True,-2.64528229316909,-8.87178171226236,56.2505196657429,0.049057,0.8534444,-0.3203843,-0.4081421
1678301099.82367,True,-2.14636743588675,-8.96314332759259,56.5379178147836,0.06673007,0.8530187,-0.324003,-0.4036437
1678301099.90346,True,-1.95407848701215,-9.17676377690508,56.3903908940667,0.08190147,0.8523528,-0.3283813,-0.3986886
1678301099.96829,True,-2.02511990886824,-9.67302171076989,57.4656033065999,0.1092785,0.8422039,-0.3591819,-0.3869616
1678301100.0371,True,-2.17969987069203,-10.4086947436717,59.3016378462524,0.1470699,0.8187667,-0.4155854,-0.3678048
1678301100.09993,True,-2.21345173834705,-11.1886525017061,61.1582005742357,0.1860136,0.7815395,-0.4843469,-0.3464147
1678301100.16376,True,-2.29482024626112,-11.5120575465764,63.3401002265511,0.2597517,0.7048438,-0.5920509,-0.2918906
1678301100.2236,True,-2.34236993011072,-11.7151179454,65.4500915335832,-0.3282566,-0.616789,0.6732476,0.2419846
1678301100.30339,True,-2.43299569111268,-11.6793386280072,67.3414793147896,-0.3909583,-0.5300168,0.7281814,0.1896991
1678301100.36622,True,-2.51461512882171,-11.2612563922873,68.6703145650038,-0.4449977,-0.4491864,0.7622072,0.13874
1678301100.43005,False
1678301100.49388,False
1678301100.55771,False
1678301100.63949,True,-2.63024547342472,-10.9167407746581,68.2050793968749,-0.4621978,-0.4210273,0.7709618,0.1213553
1678301100.70332,True,-2.76371047102372,-10.3967564771483,67.0515170664032,-0.4781083,-0.3921004,0.7788297,0.1053285
1678301100.76715,True,-2.75289779149422,-10.0903658728169,65.638687084523,-0.4764046,-0.3910222,0.7806549,0.1035291
1678301100.83098,True,-2.64389663978766,-10.0023851469779,64.3837683074063,-0.4687795,-0.4039736,0.7783123,0.106213
